Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2023-09-17,15400,31.0,0,69.8,37.1
2023-09-16,14500,30.5,0,70.7,36.0
2023-09-15,13500,30.1,1,72.9,35.7
2023-09-14,15000,29.5,0,73.5,34.4
2023-09-13,15000,30.2,0,74.0,36.1
2023-09-12,15200,29.7,0,78.8,36.3
2023-09-11,15500,29.8,0,77.0,36.2
2023-09-10,15500,30.1,0,75.3,36.7
2023-09-09,14300,29.6,0,75.2,35.2
2023-09-08,13000,29.0,1,78.1,34.1
2023-09-07,15000,30.2,0,72.8,35.9
2023-09-06,14500,30.6,0,72.8,37.1
2023-09-05,15500,31.3,0,69.4,37.8
2023-09-04,15300,30.0,0,74.0,35.6
2023-09-03,15000,30.2,0,73.9,35.8
2023-09-02,15000,30.4,0,74.5,37.1
2023-09-01,14500,30.1,1,78.2,37.4
2023-08-31,15500,30.2,0,78.1,37.4
2023-08-30,15250,31.5,0,65.6,37.1
2023-08-29,15200,30.1,0,73.4,35.9
2023-08-28,14500,30.3,0,73.1,36.4
2023-08-27,14500,29.7,0,74.5,35.1
2023-08-26,13100,28.7,0,80.2,33.6
2023-08-25,13000,28.5,1,83.1,33.7
2023-08-24,14500,28.7,0,82.8,34.4
2023-08-23,14600,29.1,0,79.5,34.7
2023-08-22,15500,29.1,0,79.1,34.7
2023-08-21,15500,30.9,0,66.6,36.0
2023-08-20,15200,30.8,0,69.2,36.7
2023-08-19,14400,29.9,0,74.6,35.6
2023-08-18,14300,31.3,1,68.9,37.7
2023-08-17,14900,30.6,0,72.9,37.0
2023-08-16,14800,29.0,0,83.5,35.4
2023-08-15,13900,29.3,0,80.0,35.6
2023-08-14,14300,28.2,0,80.3,32.5
2023-08-13,13500,27.5,0,91.3,32.5
2023-08-12,14000,29.5,0,78.5,35.5
2023-08-11,13000,28.3,1,83.3,33.5
2023-08-10,14400,28.6,0,81.4,33.5
2023-08-09,14200,28.8,0,80.3,33.9
2023-08-08,13500,27.7,0,87.0,31.7
2023-08-07,14000,27.8,0,91.2,32.8
2023-08-06,14500,28.4,0,83.0,33.6
2023-08-05,14500,29.5,0,77.4,35.4
2023-08-04,14200,28.3,1,82.6,33.1
2023-08-03,14500,29.1,0,77.3,34.3
2023-08-02,14800,28.8,0,80.9,34.5
2023-08-01,15500,30.4,0,74.2,36.9
2023-07-30,15700,31.5,0,68.0,37.8
2023-07-29,15200,30.6,0,73.1,37.3
2023-07-28,14500,29.8,1,74.7,35.5
2023-07-27,15500,30.2,0,75.0,36.8
2023-07-26,15600,31.1,0,66.9,36.8
2023-07-25,15600,31.6,0,66.9,37.8
2023-07-24,15300,31.8,0,65.1,37.8
2023-07-23,15500,31.2,0,68.3,37.4
2023-07-22,15000,31.1,0,70.0,37.5
2023-07-21,14300,31.2,1,67.4,37.2
2023-07-20,15800,31.3,0,65.8,37.0
2023-07-19,15500,31.6,0,64.0,37.2
2023-07-18,15100,30.8,0,66.9,35.8
2023-07-17,15000,29.8,0,73.5,35.2
2023-07-16,15200,28.6,0,77.1,32.9
2023-07-15,14400,29.5,0,72.5,34.1
2023-07-14,14000,30.3,1,71.2,36.1
2023-07-13,14800,30.0,0,71.7,35.1
2023-07-12,15000,30.1,0,71.9,35.6
2023-07-11,15000,30.0,0,73.6,35.8
2023-07-10,14800,30.1,0,73.9,36.2
2023-07-09,14500,30.1,0,72.6,35.8
2023-07-08,13100,29.6,0,75.3,35.0
2023-07-07,12600,29.3,1,78.1,34.9
